Period,Dosage_per_1000,Impact_per_1000,Prescriptions_per_1000,Drugs_count,Total_cost_per_1000,Generic_cost_per_1000,Prescribed_dosage,Prescribed_ome
201406,5030.264188226921,307317.69879151724,37.765057451957304,3860.4115274386027,388.22472685287113,277.56762468490325,231348.69912488913,23912.353532382647
201407,5122.1677617093455,313159.4255233559,40.19512781465134,4105.337571818351,429.07214056682574,308.9398931323312,242122.15940500403,25667.848491317996
201408,4978.483202318628,302918.696752913,37.28898045706307,3801.310169791077,402.1424688902887,288.27303337935746,218988.80943923676,24181.047007240577
201409,26853.598623862585,308217.6953228781,39.26782530041438,3993.6483492323946,413.9740874454694,298.3857696833037,235053.5645062638,25082.151096829253
201410,4545.007145311491,310431.9351149151,41.088446155607556,4191.384427229427,442.15570076428867,320.3004014751483,244077.49146804056,26329.12118824537
201411,4873.503225382148,308625.0528188333,37.168762541762554,3803.1678658864735,394.96922061330076,286.52654386103774,221753.3736251097,23652.61170830299
201412,4730.764178542773,305887.8857851252,42.18874304029158,4380.846579652782,455.3563584800883,328.35695848076585,251401.7733401941,27031.807046152255
201501,4302.4256806423855,303176.4924458595,39.290973176581815,4039.260431327829,419.0580807786715,303.2531765235047,234161.5963629927,25008.31486025525
201502,4453.479925522191,301986.42332669836,36.40567295784844,3727.756809747764,389.48081280800005,280.3403250632766,214410.16921657737,23382.685584451152
201503,4424.04848085287,297797.35679808893,40.10787542557713,4112.758749304445,426.708387815584,307.0917491362475,237241.4849671142,25667.018720746637
201504,4648.538858237802,298639.8673866714,39.050028022453574,3989.8581391717403,423.3976868878777,303.59511175163993,226191.7604607632,25524.009159813264
201505,4058.4585185297888,299352.37699271395,38.26048874088532,3902.745814067512,417.4017993065529,298.32998540928975,220302.13406488526,25203.495284514247
201506,4596.026600135712,305748.03026353125,39.930982095714924,4059.585864824939,432.7003311252888,308.5470190532189,229726.90790968726,26180.790763061414
201507,29701.848581639555,302423.5937984431,41.42895527786416,4204.773032351933,452.24437996174987,320.97268710434645,234707.2911816568,27432.56487301913
201508,5168.8293448530785,295169.66173402825,37.43557781849673,3786.5629353783124,411.2598263217351,290.2090228629851,207456.10163257687,25006.341825212654
201509,4164.720690882067,303560.9232684464,40.546473234021214,4106.938691796197,435.12114672823077,305.48084540469904,228176.2636888733,26925.070101269062
201510,5016.868384456044,305629.25702170876,41.11336788268009,4182.7313893227065,435.4947170944019,303.01867325822343,229445.1066219804,27191.031623211242
201511,4177.278242236031,303135.2231989385,39.09880014090348,3991.358817037448,408.2752131084208,283.1885588232368,220757.09764838478,25680.838463844102
201512,5070.061066867676,296002.576397353,43.13729663962914,4435.611293346485,459.2310632063553,315.51128960383215,238924.9238346094,28912.19842404975
201601,4137.494471380145,293069.8642748186,38.70465398236815,3955.318557366048,392.3386402912978,265.90898925992826,215093.8703073499,25582.90234990995
201602,4159.93604593961,296224.30520514306,38.715191710517225,3965.5611588754127,387.0634165221963,265.0414207358477,214280.05473512024,25640.910356791963
201603,4352.986999073264,293876.1522854432,41.130474128042074,4224.459897086087,408.50908463690064,278.93852059324183,226915.40849183532,27258.97449218061
201604,4425.509793471835,298875.3978258887,41.33940215147743,4206.887480193682,414.0310324502537,280.01412722961356,224054.60528495346,27807.752013850484
201605,5000.625390488267,292324.647983793,39.50868264014136,4023.991561808809,394.3687388880751,265.1059794248368,212908.94314358238,26674.21434255232
201606,4807.465954119004,296114.6796501342,41.25970180091003,4184.693584555582,404.8062070520622,267.0425853655678,219196.25751185024,27955.67175391151
201607,4900.131007587705,294991.39859185956,40.083656213714534,4064.352904722129,394.51471821175966,256.4128421255636,211241.70360630384,27391.418177814827
201608,4333.127566380468,291762.33703141805,40.565599210611765,4103.729777946006,396.73257541425994,253.08407777552674,207844.5547353837,27854.314293430823
201609,4607.754417426162,288584.4720977701,41.1961944259317,4151.995804438661,401.69386006449645,252.48640101791676,211408.1359052995,28213.075089267426
201610,4318.894600787888,289881.9094658688,39.55548771600347,4005.9345323617063,381.4081662721532,236.35072292064405,200588.97260212642,27121.01872731514
201611,4393.105573088475,291752.12466023845,40.845077324005054,4148.077982490124,381.87317742307596,237.79018484035655,208037.14546028787,27805.461137217066
201612,4740.593633143185,282822.19749137055,42.07844815233143,4304.756928947033,399.9305414430525,244.61714844193915,211433.7096350875,29277.13225089288
201701,4986.906561049935,285465.00531685574,39.66441269930423,4034.977319033004,363.5834403395752,221.80355342379778,198383.334465621,27092.69108005207
201702,4671.912377837536,284014.7116756027,37.05017797432514,3763.279069829116,339.7259110564102,204.31366257376058,183104.44999391356,25541.189652251214
201703,5183.187712032853,292870.73511541565,42.43218212341509,4296.462735809548,386.6541100854494,229.90162451198023,207852.13557670676,29262.689548920123
201704,4083.3430389315927,277895.2667862935,37.65760775059741,3817.9983307887355,346.38203999493163,202.0119974142533,178801.19710478905,26553.468748758216
