Area Codes,All Ages
E01020813,"1,243"
E01020814,"1,412"
E01020815,"1,265"
E01020848,"1,079"
E01020850,"2,028"
E01020851,"1,402"
E01020816,"1,442"
E01020844,"1,549"
E01020847,"1,553"
E01020849,"1,258"
E01020825,"1,564"
E01020831,"1,382"
E01020833,"1,234"
E01020834,"1,335"
E01020824,"1,536"
E01020826,"1,559"
E01020832,"1,427"
E01020845,"1,334"
E01020846,"1,218"
E01020856,"1,580"
E01020858,"1,091"
E01020859,"1,226"
E01020860,"1,096"
E01020861,"1,220"
E01020862,"2,447"
E01020864,"2,011"
E01020867,"2,262"
E01020857,"1,501"
E01020863,"1,373"
E01020865,"1,319"
E01020866,942
E01020852,"1,773"
E01020853,"1,508"
E01020854,"2,508"
E01020855,"1,222"
E06000005,"105,389"
E01012334,"2,449"
E01012335,"1,358"
E01012366,"2,030"
E01033481,"1,479"
E01033482,"1,584"
E01012323,"1,508"
E01012324,"1,418"
E01032545,"1,615"
E01032546,"1,735"
E01012328,"1,557"
E01012329,"1,741"
E01012330,"1,028"
E01012331,"1,180"
E01012349,"1,513"
E01012350,"1,436"
E01012351,"1,464"
E01012352,"1,534"
E01012325,"1,451"
E01012326,"1,104"
E01012332,"1,381"
E01012333,"1,457"
E01012309,"1,826"
E01012310,"2,046"
E01012311,"1,568"
E01012312,"1,400"
E01012313,"1,396"
E01012314,"1,336"
E01012362,"1,354"
E01012363,"1,285"
E01012364,"1,433"
E01012365,"1,195"
E01012353,"1,650"
E01012354,"1,554"
E01012355,"1,472"
E01033483,"1,045"
E01033484,"1,124"
E01012307,"1,908"
E01012327,"1,401"
E01012342,"1,922"
E01012343,"2,119"
E01012315,"1,633"
E01012316,"2,633"
E01012360,"1,709"
E01012336,"1,676"
E01012337,"1,735"
E01012347,"1,692"
E01012348,"2,077"
E01012361,"1,821"
E01012304,"1,179"
E01012305,"1,217"
E01012306,"1,494"
E01012340,"2,312"
E01012341,"1,772"
E01012317,"1,386"
E01012318,"2,423"
E01012319,"2,714"
E01012356,"1,669"
E01012357,"1,442"
E01012358,"1,531"
E01012359,"1,647"
E01012338,"2,128"
E01012339,"1,767"
E01012344,"1,340"
E01012345,"1,502"
E01012346,"1,834"
E06000001,"92,493"
E01011954,"2,118"
E01011969,"1,354"
E01011970,"1,123"
E01011971,"1,445"
E01033465,"1,997"
E01033467,"1,735"
E01011952,"1,709"
E01011953,"1,921"
E01011991,"1,791"
E01011992,"1,600"
E01011993,"1,806"
E01011994,"1,474"
E01011955,"1,315"
E01011957,"1,188"
E01032540,"1,013"
E01032541,"2,180"
E01033466,"2,276"
E01011973,"1,189"
E01011974,"1,750"
E01011975,"1,329"
E01011976,986
E01011965,"1,574"
E01011966,"1,327"
E01011983,"1,668"
E01012002,"1,422"
E01011951,"1,359"
E01011964,"1,395"
E01011967,"1,470"
E01011999,"2,074"
E01012000,"1,388"
