Period,Dosage_per_1000,Prescriptions_per_1000,Drugs_count,Total_cost_per_1000,Generic_cost_per_1000
201008,99.83388471703164,0.4907771256621799,1.2819673179737867,84.26067764722536,57.34158936233206
201009,103.66888451303876,0.5060217057178187,1.3784402191784229,89.53495618210664,60.01308329201226
201010,96.77491395696165,0.5023159379853996,1.307767189058733,84.84893279772874,56.23980788738062
201011,102.38787729918525,0.5051259988251487,1.3249963745824447,86.28605007293076,56.941975001031395
201012,116.5123188061794,0.5130819835776883,1.4209248264993797,94.56621275227037,61.539387858805476
201101,98.74657411871799,0.4980130323245338,1.2634209164314427,82.69276890029798,53.30378536797456
201102,97.93747417927298,0.49581767229347984,1.232036049427495,79.66812303338551,50.801618503716725
201103,109.58073295133013,0.5230576995587977,1.4335349745177537,92.3301115810177,58.32681390437074
201104,103.56238174363892,0.5068998497302403,1.3183576058485376,84.49529823254724,52.783589364123436
201105,107.59261783435437,0.5250949936676157,1.3997439929197708,89.81851871893049,55.55169423924706
201106,111.71832866924706,0.5308907441495982,1.4431594328938944,76.81474299824603,46.14223537424366
201107,107.81735976788009,0.5293100849272394,1.4033795091311962,73.27342564629075,44.33444490558713
201108,107.80170392371198,0.531575696479287,1.43615184367477,74.42243388185895,44.744434011508126
201109,108.8077323413772,0.5387062258601504,1.479584846529142,76.57728091452871,45.60409045803624
201110,102.77667556068482,0.5285373181963083,1.3865191440927016,67.69061103701623,40.08934149367976
201111,106.05977355347176,0.5326997208151867,1.4315854948101776,66.44550188204707,41.04591904611642
201112,111.47617460352836,0.5408664601307075,1.5054374062548337,70.9014604922394,43.76774239483816
201201,101.33407667638556,0.5324538404917086,1.375963853063394,64.08224949725819,39.68207498545487
201202,100.58787848526505,0.5295910910112143,1.3708530549111004,63.702486635131116,39.17262149293651
201203,110.74882079748511,0.5452571801928155,1.5155887510384274,69.47676772541153,42.638037872208585
201204,100.66240042059117,0.535070709648725,1.397267626804742,65.34915172781247,40.104572199059994
201205,113.04521451702948,0.5539859316762862,1.5524005480391405,72.55825462484646,44.65050105404503
201206,103.84720775406787,0.546697336373187,1.4572448628531367,68.02773105027133,41.484277999389136
201207,106.87273147227808,0.5554436507369059,1.4867153759100054,69.69284717805526,41.91513760279576
201208,116.43401031387168,0.5648924803105623,1.56270995874497,73.16692943369947,43.879979561724994
201209,104.45287099730179,0.5538278657540503,1.4421056600789883,66.93131134703093,39.902973341181124
201210,110.59711293061382,0.5674215350663365,1.5285325937815215,70.75482607312847,41.805848189729836
201211,111.36945961599217,0.5682118646775159,1.5177138595484876,70.16797665556005,41.11588165773006
201212,112.80840981191984,0.5650505462327982,1.5038743099127232,70.82734601573505,41.36239564992747
201301,111.31583575187362,0.5675796009885724,1.494021534093353,69.96076944313147,40.70219767306238
201302,102.94992312932216,0.553248290705852,1.3790197942266211,63.96016991665136,36.92529974875071
201303,109.68495810787647,0.5697749610196263,1.4868558789519928,68.89078644101389,39.66902506291509
201304,110.42624513225024,0.5757639031843417,1.5112331567368162,69.84314029637954,39.75901462687596
201305,119.81690937367038,0.5866528889383694,1.590125614812772,73.68965888302648,42.04987422431126
201306,107.10978791200466,0.5796979883599904,1.4824124702491395,68.08006931155566,38.29581542073224
201307,119.83517184198207,0.5935902266365,1.6119738378418214,74.84892963641029,42.251175040112294
201308,120.47814449715709,0.5897439558620934,1.5921277831610934,73.48101678328155,41.3201093275245
201309,114.39224937917706,0.5840535826616015,1.5092134255082466,69.30826892542167,39.00971207958571
201310,118.70410918182287,0.5983848929443218,1.6218968651821852,74.0962102307676,41.46527970493797
201311,114.83552125548464,0.594362993367431,1.5520317275539235,70.78681018560644,39.20044531034129
201312,120.28339410880227,0.596435413236746,1.6042461705325113,72.97732303734065,40.72480601754856
201401,118.51084578399578,0.6025648584434486,1.6108322506256734,72.38660399036718,39.94194466993719
201402,106.25031104592708,0.5888482489694233,1.457139485571646,65.6244774494286,35.9928477980249
201403,114.55538951023142,0.6069555785055566,1.5621303836967717,69.93696295895474,37.87115340650769
201404,114.71004779462707,0.6049007215164901,1.563851545961118,69.13151838177588,38.30531377762819
201405,120.6650274469473,0.6174230551336221,1.6305202393841653,71.438377236231,39.25752063168621
201406,110.97720366244363,0.6152452579828165,1.5587583106890728,67.98068624109382,37.06091152858895
201407,127.53457754982561,0.6323339404645406,1.690813607277032,74.59782066785345,40.535253363603296
201408,118.36198427458335,0.618845648433745,1.589423099602835,69.55646315837245,37.18964954835561
201409,118.19223245090222,0.6267489445455393,1.6205093976425593,70.44295217334407,37.47421422312646
201410,123.68287252755552,0.6363382771611831,1.7041262705053433,73.51683294060096,38.839456113426984
201411,112.04800368975039,0.6150696291803321,1.5070707541179378,64.21992298360875,34.190334974883065
201412,129.80419270678328,0.6431702375778231,1.74425745187301,76.58854557029125,39.87304619323781
201501,123.87675062619137,0.629137496259326,1.6095150346070408,69.66511328259735,36.2895967209681
201502,110.33746433352222,0.6131201494727562,1.4853454712506275,63.797081186293155,32.95517519157458
201503,123.9150725381788,0.6303844607569647,1.6206499006845467,69.71885762807436,35.919526109934964
201504,120.1584817819687,0.6322110003028016,1.6227925720748553,69.5692350605179,35.38196059314693
201505,123.53039335752672,0.6348454323400664,1.603297774999096,69.12252267451265,35.068406452609224
201506,126.86156095355365,0.6463315560225409,1.670317726027112,71.37580315270912,35.596989434294194
201507,132.00860098738391,0.6580811229087418,1.7485779204141243,74.84660817489909,37.01604592159274
201508,123.70740992026533,0.6427662913321092,1.6047554940597157,68.2506159433825,33.20646909726042
